CÓDIGO;DESCRIÇÃO MATÉRIA-PRIMA;CEREAIS COM GLÚTEN;LEITE E DERIVADOS;SULFITO;SOJA E DERIVADOS;PEIXE E DERIVADOS;OBSERVAÇÃO
43309107;Agente Aerante Emulgel 6347;;Leite;Sulfito;Soja;;
20016280;Amido Milho Nao Mdf 10-14% Umidade 25kg;;;Sulfito;;;
20340747;Amido Modificado National 80;;;Sulfito;;;
43529601;Amido Modificado National 75;;;Sulfito;;;
20340821;Aroma Baunilha;;;Sulfito;Soja;;
44008730;Aroma Baunilha Evodry Natural Po;;Leite;;;;
43397313;Aroma Baunilha;;;Sulfito;;;
43484973;Aroma Chocolate Branco;Glúten;Leite;;;;
43662191;Aroma Chocolate Branco;;Leite;;;;
43529606;Aroma Chocolate Po VB16486005;;;Sulfito;;;
44105785;Aroma Natural Chocolate Branco Po;;Leite;;;;
43657306;Aroma Cookies;;Leite;;;;
43485266;Aroma de Leite;;Leite;;;;
43897898;Aroma de Leite Mouthfeel 554392 2TP0597;;Leite;;;;
44042594;Aroma Mouthfeel Leite 566049 TP0304;;Leite;;;;
43076293;Base Láctea;;Leite;;Soja;;
20341327;Base Láctea;;Leite;;Soja;;
44143063;Base Láctea;;Leite;;Soja;;
43192438;Calcio de Caseinato MIPRODAN® 40;;Leite;;;;
43639281;Emulsificante Spongolit 542 25Kg;;Leite;;;;
43291319;Espumante Po Vana Cappa;Glúten;Leite;;;;
43900667;Extrato de Malte;Glúten;;;Soja;;
20345876;Extrato de Malte;Glúten;;;Soja;;
43891976;Extrato de Camomila;;;Sulfito;;;
43156279;Farinha Trigo Fraca;Glúten;;;Soja;;
20345647;Lecitina de Soja;;;;Soja;;
43842493;Lecitina de soja;;;;Soja;;
20345704;Leite em Pó Integral;;Leite;;Soja;;
43677092;Leite Po Integral 26Q 25kg - Leite Kaldi;;Leite;;Soja;;
43735449;Leite Po Integral 26% Big Bag 512kg;;Leite;;;;
43580152;Leite Po Integral 26Q 300kg;;Leite;;Soja;;
20345711;Leite Po MSK 25kg;;Leite;;;;
43116020;Leite Po MSK 25kg;;Leite;;;;
43893127;Leite Po Desnatado c/ Lecitina BB 300kg;;Leite;;Soja;;
44139681;Leite Kaldi Zero Lactose 300kg;;Leite;;Soja;;
44079962;NINHO INST ZERO LACTOSE FORTI+2.0 25KG;;Leite;;Soja;;
44321909;Leite Po Desnatado Terceiros;;Leite;;;;
43682870;Leite em Po Integral 3°s;;Leite;;;;
20345881;Maltodextrina;;;Sulfito;;;
20345883;Maltodextrina;;;Sulfito;;;
20345885;Maltodextrina;;;Sulfito;;;
43907808;Massa Chocolate GALAK;Glúten;Leite;;Soja;;
44002615;MOLICO Base Lactea MUK;;Leite;;Soja;;
20346007;Morango Po 15kg;;;Sulfito;Soja;;
43733735;NESCAU Vending Blend Cacau Po;;Leite;Sulfito;;;
43424015;ALPINO Achoc Trad Blend Professional Po;;Leite;;;;
